ID;Età;Estroversione;Amicalità;Coscienziosità;Stabilità emotiva;Apertura Mentale;Conflitto; ; ; ; ; ; ; ; 
161;25;25;36;24;23;44;Competizione;;;;;;;;
162;22;26;16;32;26;46;Competizione;;;;;;;;
163;21;18;25;32;38;20;Compromesso;;;;;;;;
164;23;17;48;28;25;43;Collaborazione;;;;;;;;
165;25;16;21;41;19;31;Elusione;;;;;;;;
166;24;21;38;28;20;36;Elusione;;;;;;;;
167;25;24;42;38;36;35;Accomodamento;;;;;;;;
168;26;24;40;37;40;36;Accomodamento;;;;;;;;
169;27;30;40;32;23;38;Elusione;;;;;;;;
170;2;38;45;43;47;39;Elusione;;;;;;;;
171;22;34;38;36;30;40;Elusione;;;;;;;;
172;18;29;39;28;17;28;Competizione;;;;;;;;
173;21;32;37;29;17;29;Collaborazione;;;;;;;;
174;22;38;34;26;32;29;Collaborazione;;;;;;;;
175;21;20;41;43;24;39;Compromesso;;;;;;;;
176;54;20;35;31;38;15;Accomodamento;;;;;;;;
177;26;24;26;35;34;35;Elusione;;;;;;;;
178;18;23;43;28;17;32;Collaborazione;;;;;;;;
179;28;25;30;33;30;24;Competizione;;;;;;;;
180;26;29;44;29;34;36;Elusione;;;;;;;;
181;21;28;41;32;26;29;Competizione;;;;;;;;
182;27;36;47;34;44;39;Elusione;;;;;;;;
183;2;23;40;29;26;41;Competizione;;;;;;;;
184;31;43;39;28;30;46;Competizione;;;;;;;;
185;26;21;39;33;21;44;Compromesso;;;;;;;;
186;45;33;45;34;39;42;Elusione;;;;;;;;
187;26;34;48;40;44;40;Accomodamento;;;;;;;;
188;29;14;43;40;15;44;Collaborazione;;;;;;;;
189;33;36;42;34;38;34;Elusione;;;;;;;;
190;27;23;39;40;24;40;Elusione;;;;;;;;
191;27;23;39;40;24;40;Elusione;;;;;;;;
192;30;30;44;40;29;38;Elusione;;;;;;;;
193;26;27;42;29;23;36;Elusione;;;;;;;;
194;30;39;42;39;38;34;Compromesso;;;;;;;;
195;26;45;48;41;28;49;Accomodamento;;;;;;;;
196;27;25;40;32;26;34;Elusione;;;;;;;;
197;27;17;34;37;29;41;Compromesso;;;;;;;;
198;26;35;46;33;26;38;Accomodamento;;;;;;;;
199;29;38;42;30;32;36;Accomodamento;;;;;;;;
200;27;20;26;39;21;37;Competizione;;;;;;;;
201;25;34;46;36;35;40;Accomodamento;;;;;;;;
202;32;47;39;34;33;47;Competizione;;;;;;;;
203;30;31;38;24;13;37;Collaborazione;;;;;;;;
204;26;23;45;37;37;31;Elusione;;;;;;;;
205;26;32;38;35;36;40;Collaborazione;;;;;;;;
206;33;40;40;33;28;42;Competizione;;;;;;;;
207;46;40;44;38;22;46;Accomodamento;;;;;;;;
208;27;17;41;39;20;32;Accomodamento;;;;;;;;
209;28;31;35;37;15;45;Elusione;;;;;;;;
210;27;27;34;23;28;41;Competizione;;;;;;;;
211;28;26;47;43;30;44;Compromesso;;;;;;;;
212;28;26;47;43;30;44;Compromesso;;;;;;;;
213;42;36;46;37;34;37;Accomodamento;;;;;;;;
214;36;20;41;36;25;37;Accomodamento;;;;;;;;
215;28;23;35;37;23;38;Compromesso;;;;;;;;
216;27;24;39;46;40;30;Compromesso;;;;;;;;
217;27;34;50;33;25;37;Accomodamento;;;;;;;;
218;26;34;32;28;24;42;Competizione;;;;;;;;
219;25;36;40;32;17;36;Collaborazione;;;;;;;;
220;25;24;48;48;28;43;Collaborazione;;;;;;;;
221;27;31;33;29;26;36;Elusione;;;;;;;;
222;32;29;44;44;42;33;Accomodamento;;;;;;;;
223;31;29;32;35;28;42;Elusione;;;;;;;;
224;28;21;45;34;41;37;Accomodamento;;;;;;;;
225;26;35;38;27;31;39;Elusione;;;;;;;;
226;25;43;44;37;41;34;Elusione;;;;;;;;
227;27;27;34;26;20;41;Elusione;;;;;;;;
228;25;49;41;33;34;35;Compromesso;;;;;;;;
229;27;22;38;35;15;39;Collaborazione;;;;;;;;
230;26;28;42;48;37;45;Accomodamento;;;;;;;;
231;26;17;40;32;16;49;Accomodamento;;;;;;;;
232;26;22;43;47;37;36;Accomodamento;;;;;;;;
233;27;38;44;38;32;35;Collaborazione;;;;;;;;
234;28;39;49;22;15;40;Elusione;;;;;;;;
235;29;19;35;26;15;32;Elusione;;;;;;;;
236;27;31;41;37;27;38;Elusione;;;;;;;;
237;27;35;42;35;34;43;Elusione;;;;;;;;
238;26;30;40;30;37;24;Elusione;;;;;;;;
239;29;21;42;35;21;38;Elusione;;;;;;;;
240;25;38;33;34;19;35;Collaborazione;;;;;;;;
241;25;35;44;29;33;38;Competizione;;;;;;;;
242;25;25;32;26;43;46;Elusione;;;;;;;;
243;24;24;32;39;31;37;Elusione;;;;;;;;
244;1;31;39;33;40;40;Elusione;;;;;;;;
245;25;31;36;35;15;42;Collaborazione;;;;;;;;
246;29;33;35;32;21;43;Competizione;;;;;;;;
247;18;12;30;43;10;48;Collaborazione;;;;;;;;
248;20;21;27;27;12;32;Elusione;;;;;;;;
249;2;23;44;28;23;39;Collaborazione;;;;;;;;
250;2;23;44;28;23;39;Collaborazione;;;;;;;;
251;26;17;44;41;38;38;Elusione;;;;;;;;
252;28;34;42;30;25;38;Accomodamento;;;;;;;;
253;27;21;32;34;35;26;Elusione;;;;;;;;
254;25;23;28;26;22;30;Elusione;;;;;;;;
255;17;36;33;23;20;36;Accomodamento;;;;;;;;
256;21;31;33;27;36;33;Competizione;;;;;;;;
257;45;32;44;35;37;30;Accomodamento;;;;;;;;
258;26;38;47;36;38;34;Elusione;;;;;;;;
259;24;44;33;29;48;46;Competizione;;;;;;;;
260;1;41;44;21;29;34;Elusione;;;;;;;;
261;2;42;32;44;30;43;Competizione;;;;;;;;
262;28;38;39;42;36;31;Elusione;;;;;;;;
263;1;41;44;21;29;34;Elusione;;;;;;;;
264;27;46;41;30;23;31;Compromesso;;;;;;;;
265;25;22;49;20;28;40;Elusione;;;;;;;;
266;18;34;42;37;17;35;Competizione;;;;;;;;
267;26;36;35;31;36;36;Compromesso;;;;;;;;
268;56;16;40;41;43;40;Elusione;;;;;;;;
269;25;26;46;22;25;40;Elusione;;;;;;;;
270;29;46;34;32;20;35;Competizione;;;;;;;;
271;29;42;42;38;33;43;Elusione;;;;;;;;
272;31;32;41;30;37;32;Compromesso;;;;;;;;
273;23;41;39;45;30;33;Compromesso;;;;;;;;
274;53;39;47;41;30;40;Elusione;;;;;;;;
275;26;28;29;31;28;25;Collaborazione;;;;;;;;
276;26;28;29;31;28;25;Collaborazione;;;;;;;;
277;28;32;40;37;36;38;Competizione;;;;;;;;
278;26;22;30;37;28;25;Elusione;;;;;;;;
279;21;36;46;34;25;43;Collaborazione;;;;;;;;
280;1;17;40;36;34;27;Collaborazione;;;;;;;;
281;24;47;39;33;33;37;Compromesso;;;;;;;;
282;41;40;45;38;36;33;Elusione;;;;;;;;
283;31;19;36;46;25;39;Elusione;;;;;;;;
284;28;30;43;33;39;36;Collaborazione;;;;;;;;
285;35;46;40;29;40;39;Collaborazione;;;;;;;;
286;28;37;46;35;39;40;Accomodamento;;;;;;;;
287;1;37;42;41;40;33;Compromesso;;;;;;;;
288;23;41;42;27;19;41;Collaborazione;;;;;;;;
289;23;46;48;27;17;35;Accomodamento;;;;;;;;
290;23;32;45;43;43;32;Collaborazione;;;;;;;;
291;2;28;41;30;28;29;Elusione;;;;;;;;
292;24;31;23;39;37;35;Competizione;;;;;;;;
293;4;38;45;21;25;35;Elusione;;;;;;;;
294;23;18;33;18;25;41;Elusione;;;;;;;;
295;27;39;30;29;45;48;Competizione;;;;;;;;
296;28;21;29;31;20;48;Competizione;;;;;;;;
297;23;42;48;44;38;43;Accomodamento;;;;;;;;
