ID,Eta,Estroversione,Amicalita,Coscienziosita,Stabilita emotiva,Apertura Mentale,Elusione,Competizione,Accomodamento,Compromesso,Collaborazione,Stile dominante
154,20,15,33,26,30,33,8,5,7,7,3,Elusione
155,32,40,40,28,31,34,11,2,8,4,5,Elusione
156,22,16,35,37,33,31,7,5,4,8,6,Compromesso
157,26,36,45,33,39,44,6,2,7,8,7,Compromesso
158,26,37,43,36,34,42,10,6,5,3,6,Elusione
159,2,33,43,35,34,31,10,0,9,5,6,Elusione
160,21,19,36,48,34,41,11,4,7,5,3,Elusione
161,25,25,36,24,23,44,4,8,7,5,6,Competizione
162,22,26,16,32,26,46,8,9,5,8,0,Competizione
163,21,18,25,32,38,20,6,5,4,9,6,Compromesso
164,23,17,48,28,25,43,6,4,7,5,8,Collaborazione
165,25,16,21,41,19,31,10,5,4,7,4,Elusione
166,24,21,38,28,20,36,11,1,7,7,4,Elusione
167,25,24,42,38,36,35,5,1,10,10,4,Accomodamento
168,26,24,40,37,40,36,5,5,8,8,4,Accomodamento
169,27,30,40,32,23,38,10,9,3,4,4,Elusione
170,2,38,45,43,47,39,12,2,5,7,4,Elusione
171,22,34,38,36,30,40,9,6,3,5,7,Elusione
172,18,29,39,28,17,28,5,7,6,6,6,Competizione
173,21,32,37,29,17,29,5,2,6,7,10,Collaborazione
174,22,38,34,26,32,29,8,6,2,5,9,Collaborazione
175,21,20,41,43,24,39,6,5,5,7,7,Compromesso
176,54,20,35,31,38,15,8,0,11,6,5,Accomodamento
177,26,24,26,35,34,35,8,3,8,7,4,Elusione
178,18,23,43,28,17,32,7,3,5,4,11,Collaborazione
179,28,25,30,33,30,24,6,8,4,7,5,Competizione
180,26,29,44,29,34,36,10,1,8,6,5,Elusione
181,21,28,41,32,26,29,4,8,5,7,6,Competizione
182,27,36,47,34,44,39,8,0,8,8,6,Elusione
183,2,23,40,29,26,41,6,11,7,2,4,Competizione
184,31,43,39,28,30,46,7,9,4,5,5,Competizione
185,26,21,39,33,21,44,6,2,8,9,5,Compromesso
186,45,33,45,34,39,42,9,1,6,8,6,Elusione
187,26,34,48,40,44,40,7,0,11,5,7,Accomodamento
188,29,14,43,40,15,44,2,6,8,4,10,Collaborazione
189,33,36,42,34,38,34,9,1,4,7,9,Elusione
190,27,23,39,40,24,40,12,0,6,7,5,Elusione
191,27,23,39,40,24,40,12,0,6,7,5,Elusione
192,30,30,44,40,29,38,11,2,5,4,8,Elusione
193,26,27,42,29,23,36,10,0,8,7,5,Elusione
194,30,39,42,39,38,34,5,0,6,11,8,Compromesso
195,26,45,48,41,28,49,5,2,8,8,7,Accomodamento
196,27,25,40,32,26,34,9,2,8,6,5,Elusione
197,27,17,34,37,29,41,8,6,5,9,2,Compromesso
198,26,35,46,33,26,38,5,3,11,5,6,Accomodamento
199,29,38,42,30,32,36,1,4,10,6,9,Accomodamento
200,27,20,26,39,21,37,8,11,2,5,4,Competizione
201,25,34,46,36,35,40,5,4,8,8,5,Accomodamento
202,32,47,39,34,33,47,7,11,4,2,6,Competizione
203,30,31,38,24,13,37,4,7,6,2,11,Collaborazione
204,26,23,45,37,37,31,8,3,4,7,8,Elusione
205,26,32,38,35,36,40,7,3,7,5,8,Collaborazione
206,33,40,40,33,28,42,6,10,2,9,3,Competizione
